"","hhid","exinc","inc","age","gender","nmembers","nkids","college","working","year"
"5046",24332,88531.188,70422.539,69,0,2,0,0,0,2014
"7372",39834,50227.887,104641.43,66,0,2,0,1,1,2020
"4373",19312,17565.393,14587.525,46,0,1,0,0,0,2014
"4418",19630,14127.827,14305.802,70,1,1,0,0,0,2017
"12321",74520,12173.842,11774.68,70,0,1,0,0,0,2019
"9120",52974,69348.125,66680.891,36,1,2,0,0,1,2011
"3789",15401,36000,32500,57,0,2,0,0,1,2015
"13505",82682,13534.899,13534.416,84,1,1,0,0,0,2018
"13910",85748,2138.2817,2072.3438,46,1,2,0,0,0,2019
"9190",53509,94366.195,90543.258,37,1,4,2,0,1,2014
"442",1350,15071.59,13658.629,83,1,1,0,0,0,2019
"6563",34639,26000,32000,65,0,2,0,0,0,2015
"3964",16524,54043.07,44697.277,25,1,2,0,0,1,2013
"4968",23845,11602.753,10078.663,53,1,1,0,0,0,2017
"6475",34154,30181.086,23138.832,67,1,1,0,0,0,2014
"3156",13557,20316.943,20316.943,49,0,1,0,0,1,2013
"6767",35943,13437.741,24997.1,63,1,1,0,0,1,2018
"11417",68669,3098.5916,32193.158,26,1,2,0,0,1,2014
"511",1554,40381.863,39878.191,75,0,2,0,0,0,2018
"6727",35750,63995.215,65789.477,58,0,3,1,0,1,2016
"3021",13451,10408.816,13658.629,81,0,1,0,0,0,2019
"14071",86950,12761.021,23018.174,32,1,1,0,0,1,2018
"10289",60764,25468.555,23948.355,38,0,1,0,0,1,2012
"8498",48688,26478.873,14587.525,30,1,1,0,1,1,2014
"5861",30142,46126.613,45814.242,44,0,3,1,1,1,2012
"11058",66207,29389.018,2610.2087,25,1,1,0,1,0,2018
"83",339,26537.6,26500,76,1,2,0,0,0,2015
"2072",12557,1782.5096,1577.7262,66,1,1,0,0,0,2018
"7981",44769,30552.232,31897.926,78,0,3,1,0,0,2016
"9136",53094,48521.449,45814.242,54,0,4,2,0,1,2012
"1225",10380,18137.848,29764.674,63,0,1,0,0,1,2020
"11596",69552,7598.4849,43859.648,35,1,3,1,0,1,2016
"12325",74567,67777.328,63490.449,36,0,3,1,1,1,2013
"6320",33381,35940,32000,39,0,4,2,0,1,2015
"5546",28048,40316.504,41446.871,64,0,2,0,0,1,2019
"3735",14962,45949.215,44647.008,60,0,1,0,0,1,2020
"4745",22198,26422.381,21665.41,31,0,1,0,0,1,2019
"4881",23160,23323.5,23897.738,24,1,1,0,1,1,2017
"10498",62210,51146.883,53319.918,62,0,2,0,0,0,2014
"2278",12792,57669.055,63249.93,65,1,2,0,1,1,2020
"5285",25743,0,3866.9761,26,0,1,0,1,0,2018
"6661",35283,34140.617,34358.262,67,0,2,0,0,0,2011
"8223",46667,16013.564,16955.539,48,1,3,2,0,1,2019
"13494",82589,52332.535,62300.637,35,1,5,3,0,1,2016
"12762",77818,0,23000,59,0,3,1,0,1,2015
"7420",40365,50291.547,34360.684,61,0,2,0,0,1,2012
"10298",60776,24888.256,32507.111,71,1,1,0,0,0,2013
